Tax ID,OrgID,Program,Enrollment Date,Enrollment End,Amount,Total Remuneration,Status
2050704599,2,2002,10-05-2023,01-09-2024,10,0,Active
4028355468,2,2001,01-05-2023,01-06-2024,10,0,Active
3653014786,2,2002,10-05-2023,01-09-2024,10,0,Active
1679762051,2,2001,01-05-2023,01-06-2024,10,0,Active
1677202786,2,2002,10-05-2023,01-09-2024,10,0,Active
980090573,2,2001,01-05-2023,01-06-2024,10,0,Active
3059952649,2,2002,10-05-2023,01-09-2024,10,0,Active
4078098848,2,2001,01-05-2023,01-06-2024,10,0,Active
1017414284,2,2002,10-05-2023,01-09-2024,10,0,Active
2581759347,2,2001,01-05-2023,01-06-2024,10,0,Active
2810922850,2,2002,10-05-2023,01-09-2024,10,0,Active
4032759009,2,2001,01-05-2023,01-06-2024,10,0,Active
1043441868,2,2002,10-05-2023,01-09-2024,10,0,Active
3734271247,2,2001,01-05-2023,01-06-2024,10,0,Active
3853886788,2,2002,10-05-2023,01-09-2024,10,0,Active
2528868991,2,2001,01-05-2023,01-06-2024,10,0,Active
1348262949,2,2002,10-05-2023,01-09-2024,10,0,Active
2651253192,2,2001,01-05-2023,01-06-2024,10,0,Active
2234582342,2,2002,10-05-2023,01-09-2024,10,0,Active
2491964723,2,2001,01-05-2023,01-06-2024,10,0,Active
908241884,2,2002,10-05-2023,01-09-2024,10,0,Active
2888977935,2,2001,01-05-2023,01-06-2024,10,0,Active
1150080840,2,2002,10-05-2023,01-09-2024,10,0,Active
3491895327,2,2001,01-05-2023,01-06-2024,10,0,Active
2764230591,2,2002,10-05-2023,01-09-2024,10,0,Active
272618842,2,2001,01-05-2023,01-06-2024,10,0,Active
915524663,2,2002,10-05-2023,01-09-2024,10,0,Active
1961170361,2,2001,01-05-2023,01-06-2024,10,0,Active
3738944447,2,2002,10-05-2023,01-09-2024,10,0,Active
2358170214,2,2001,01-05-2023,01-06-2024,10,0,Active
1747242509,2,2002,10-05-2023,01-09-2024,10,0,Active
4256051854,2,2001,01-05-2023,01-06-2024,10,0,Active
814070773,2,2002,10-05-2023,01-09-2024,10,0,Active
3522920515,2,2001,01-05-2023,01-06-2024,10,0,Active
383320437,2,2002,10-05-2023,01-09-2024,10,0,Active
653611731,2,2001,01-05-2023,01-06-2024,10,0,Active
293431786,2,2002,10-05-2023,01-09-2024,10,0,Active
3436665674,2,2001,01-05-2023,01-06-2024,10,0,Active
2094546021,2,2002,10-05-2023,01-09-2024,10,0,Active
430346375,2,2001,01-05-2023,01-06-2024,10,0,Active
3875674829,2,2002,10-05-2023,01-09-2024,10,0,Active
3547897161,2,2001,01-05-2023,01-06-2024,10,0,Active
33589358,2,2002,10-05-2023,01-09-2024,10,0,Active
1018673228,2,2001,01-05-2023,01-06-2024,10,0,Active
2533332438,2,2002,10-05-2023,01-09-2024,10,0,Active
34022421,2,2001,01-05-2023,01-06-2024,10,0,Active
2712194494,2,2002,10-05-2023,01-09-2024,10,0,Active
1490320041,2,2001,01-05-2023,01-06-2024,10,0,Active
1944618808,2,2002,10-05-2023,01-09-2024,10,0,Active
3874707795,2,2001,01-05-2023,01-06-2024,10,0,Active
2788244145,2,2002,10-05-2023,01-09-2024,10,0,Active
2184736976,2,2001,01-05-2023,01-06-2024,10,0,Active
829819269,2,2002,10-05-2023,01-09-2024,10,0,Active
2427704431,2,2001,01-05-2023,01-06-2024,10,0,Active
2790832529,2,2002,10-05-2023,01-09-2024,10,0,Active
1238636729,2,2001,01-05-2023,01-06-2024,10,0,Active
3515733964,2,2002,10-05-2023,01-09-2024,10,0,Active
1443446305,2,2001,01-05-2023,01-06-2024,10,0,Active
2090695797,2,2002,10-05-2023,01-09-2024,10,0,Active
3855307006,2,2001,01-05-2023,01-06-2024,10,0,Active
2077000962,2,2002,10-05-2023,01-09-2024,10,0,Active
3228300620,2,2001,01-05-2023,01-06-2024,10,0,Active
3686990461,2,2002,10-05-2023,01-09-2024,10,0,Active
3183224679,2,2001,01-05-2023,01-06-2024,10,0,Active
2751564650,2,2002,10-05-2023,01-09-2024,10,0,Active
2540635111,2,2001,01-05-2023,01-06-2024,10,0,Active
1709255878,2,2002,10-05-2023,01-09-2024,10,0,Active
3935470343,2,2001,01-05-2023,01-06-2024,10,0,Active
4227421144,2,2002,10-05-2023,01-09-2024,10,0,Active
