Tax ID,OrgID,Program,Enrollment Date,Enrollment End,Ammount,Total Remuneration,Status
2556091736,2,2002,10-05-2022,01-09-2022,10,0,Active
1314373630,2,2001,01-05-2022,01-06-2022,10,0,Active
1548901317,2,2002,10-05-2022,01-09-2022,10,0,Active
2101221990,2,2001,01-05-2022,01-06-2022,10,0,Active
1119669253,2,2002,10-05-2022,01-09-2022,10,0,Active
3578483486,2,2001,01-05-2022,01-06-2022,10,0,Active
2024862173,2,2002,10-05-2022,01-09-2022,10,0,Active
4262695556,2,2001,01-05-2022,01-06-2022,10,0,Active
3342623269,2,2002,10-05-2022,01-09-2022,10,0,Active
3895352929,2,2001,01-05-2022,01-06-2022,10,0,Active
2617943429,2,2002,10-05-2022,01-09-2022,10,0,Active
3257954615,2,2001,01-05-2022,01-06-2022,10,0,Active
3227899983,2,2002,10-05-2022,01-09-2022,10,0,Active
227292046,2,2001,01-05-2022,01-06-2022,10,0,Active
415388284,2,2002,10-05-2022,01-09-2022,10,0,Active
3924166210,2,2001,01-05-2022,01-06-2022,10,0,Active
420540050,2,2002,10-05-2022,01-09-2022,10,0,Active
3600129152,2,2001,01-05-2022,01-06-2022,10,0,Active
1455717588,2,2002,10-05-2022,01-09-2022,10,0,Active
2340579187,2,2001,01-05-2022,01-06-2022,10,0,Active
2160704343,2,2002,10-05-2022,01-09-2022,10,0,Active
679923449,2,2001,01-05-2022,01-06-2022,10,0,Active
1389890649,2,2002,10-05-2022,01-09-2022,10,0,Active
1014048323,2,2001,01-05-2022,01-06-2022,10,0,Active
1562442077,2,2002,10-05-2022,01-09-2022,10,0,Active
1618718047,2,2001,01-05-2022,01-06-2022,10,0,Active
3499674467,2,2002,10-05-2022,01-09-2022,10,0,Active
2081651747,2,2001,01-05-2022,01-06-2022,10,0,Active
1081152801,2,2002,10-05-2022,01-09-2022,10,0,Active
2903110352,2,2001,01-05-2022,01-06-2022,10,0,Active
3438493571,2,2002,10-05-2022,01-09-2022,10,0,Active
4011942831,2,2001,01-05-2022,01-06-2022,10,0,Active
192529758,2,2002,10-05-2022,01-09-2022,10,0,Active
102498470,2,2001,01-05-2022,01-06-2022,10,0,Active
2555964657,2,2002,10-05-2022,01-09-2022,10,0,Active
1377458208,2,2001,01-05-2022,01-06-2022,10,0,Active
1343895048,2,2002,10-05-2022,01-09-2022,10,0,Active
727820691,2,2001,01-05-2022,01-06-2022,10,0,Active
3867102633,2,2002,10-05-2022,01-09-2022,10,0,Active
2282692497,2,2001,01-05-2022,01-06-2022,10,0,Active
1460569561,2,2002,10-05-2022,01-09-2022,10,0,Active
3952179769,2,2001,01-05-2022,01-06-2022,10,0,Active
4067038380,2,2002,10-05-2022,01-09-2022,10,0,Active
1583961380,2,2001,01-05-2022,01-06-2022,10,0,Active
1754461430,2,2002,10-05-2022,01-09-2022,10,0,Active
3231854929,2,2001,01-05-2022,01-06-2022,10,0,Active
2461331271,2,2002,10-05-2022,01-09-2022,10,0,Active
2732101763,2,2001,01-05-2022,01-06-2022,10,0,Active
4293570365,2,2002,10-05-2022,01-09-2022,10,0,Active
2688681680,2,2001,01-05-2022,01-06-2022,10,0,Active
909130456,2,2002,10-05-2022,01-09-2022,10,0,Active
2396553156,2,2001,01-05-2022,01-06-2022,10,0,Active
1691314110,2,2002,10-05-2022,01-09-2022,10,0,Active
3846580586,2,2001,01-05-2022,01-06-2022,10,0,Active
3202784872,2,2002,10-05-2022,01-09-2022,10,0,Active
